"Precio"	"Antiguedad_Meses"	"KM"	"Combustible"	"CV"	"Metalizado"	"Automatico"	"CC"	"N_Puertas"	"Peso"
11818	27	37177	"Gasolina"	108.46	"Si"	"Si"	1600	5	1130
13864	31	36544	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
13136	30	33511	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
13136	27	32809	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
12227	26	32181	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
14045	28	30993	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
10409	22	30400	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
17045	22	30000	"Diesel"	108.46	"No"	"Si"	2000	5	1275
11318	25	29719	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
11318	28	29206	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
8632	32	29198	"Gasolina"	95.642	"No"	"Si"	1400	5	1060
14045	28	28817	"Gasolina"	108.46	"No"	"Si"	1598	5	1130
11136	23	28227	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
14955	28	28000	"Gasolina"	108.46	"Si"	"Si"	1600	5	1130
12227	23	28000	"Gasolina"	108.46	"No"	"Si"	1600	5	1115
13864	31	25266	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
13591	27	23489	"Gasolina"	108.46	"Si"	"Si"	1600	5	1115
12177	29	22575	"Gasolina"	108.46	"No"	"Si"	1600	5	1115
10364	30	22000	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
14045	25	20019	"Gasolina"	108.46	"No"	"No"	1600	5	1180
12500	29	20000	"Gasolina"	108.46	"No"	"Si"	1600	5	1115
10864	25	17003	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
13136	31	16238	"Gasolina"	108.46	"No"	"No"	1600	5	1180
11955	25	15414	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
12682	28	8537	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
10364	30	7000	"Gasolina"	95.642	"No"	"Si"	1400	5	1100
13136	20	66966	"Diesel"	88.74	"No"	"Si"	2000	3	1245
11318	19	51884	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
16773	19	50005	"Diesel"	108.46	"No"	"Si"	2000	3	1265
11773	20	48110	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
17045	20	37500	"Diesel"	88.74	"No"	"Si"	2000	3	1260
14955	16	34472	"Diesel"	88.74	"No"	"Si"	1995	3	1260
11318	20	33329	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
14000	20	31850	"Gasolina"	108.46	"Si"	"Si"	1600	3	1120
14955	17	30351	"Diesel"	88.74	"No"	"Si"	1995	3	1260
11318	19	29435	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
11318	19	25948	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
13864	11	24500	"Gasolina"	108.46	"No"	"Si"	1600	3	1120
12682	18	23902	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
14082	20	23175	"Gasolina"	108.46	"No"	"Si"	1600	3	1120
11591	19	19200	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
13636	13	18000	"Gasolina"	70.006	"Si"	"Si"	1400	3	1125
13636	11	16123	"Gasolina"	108.46	"No"	"Si"	1600	3	1105
14500	11	14635	"Gasolina"	108.46	"No"	"No"	1600	3	1155
12227	19	13748	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
13909	14	11500	"Gasolina"	108.46	"No"	"Si"	1600	3	1045
12682	17	10000	"Gasolina"	95.642	"No"	"Si"	1400	3	1100
13136	20	7187	"Gasolina"	108.46	"No"	"Si"	1600	3	1105
26364	4	1	"Diesel"	114.376	"Si"	"Si"	2000	5	1480
25000	4	4000	"Diesel"	114.376	"No"	"Si"	2000	5	1480
25250	4	1500	"Diesel"	114.376	"No"	"Si"	2000	5	1480
19500	8	13253	"Diesel"	114.376	"No"	"Si"	2000	5	1320
19500	8	13253	"Diesel"	114.376	"No"	"Si"	2000	5	1320
17682	7	10000	"Diesel"	114.376	"No"	"Si"	2000	5	1270
19536	8	6000	"Diesel"	88.74	"No"	"Si"	2000	5	1280
16773	8	10841	"Diesel"	88.74	"No"	"Si"	2000	5	1270
13091	7	1	"Gasolina"	108.46	"No"	"Si"	1600	3	1105
14318	20	63000	"Diesel"	88.74	"No"	"Si"	2000	5	1255
17045	17	57313	"Diesel"	108.46	"No"	"Si"	2000	5	1275
14045	13	57037	"Gasolina"	108.46	"Si"	"Si"	1600	5	1115
14955	19	51099	"Diesel"	88.74	"No"	"Si"	2000	5	1255
11682	14	40010	"Gasolina"	108.46	"No"	"Si"	1600	5	1115
14045	20	39115	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
12227	17	36012	"Gasolina"	108.46	"Si"	"Si"	1600	5	1130
16591	16	36000	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
11318	20	36000	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
11818	20	35000	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
13136	17	33740	"Gasolina"	95.642	"No"	"Si"	1400	5	1135
11227	13	33477	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
11591	20	32627	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
11318	20	29797	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
11591	19	29441	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
11318	13	29371	"Gasolina"	108.46	"No"	"Si"	1600	4	1105
11818	20	29000	"Gasolina"	95.642	"Si"	"Si"	1400	5	1110
11818	19	27821	"Gasolina"	95.642	"Si"	"Si"	1400	5	1110
13591	19	27371	"Gasolina"	95.642	"Si"	"Si"	1400	5	1135
11591	13	25170	"Gasolina"	108.46	"No"	"Si"	1600	5	1105
17727	11	25000	"Diesel"	114.376	"No"	"Si"	2000	5	1320
14909	20	23000	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
11773	20	22588	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
18591	19	21684	"Gasolina"	189.312	"No"	"Si"	1800	5	1185
14955	13	21428	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
13636	16	20629	"Gasolina"	108.46	"No"	"Si"	1600	4	1090
14045	15	20270	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
11773	16	20105	"Gasolina"	95.642	"Si"	"Si"	1400	5	1110
15455	20	20000	"Gasolina"	108.46	"Si"	"No"	1600	5	1165
19091	13	19988	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
14500	19	18328	"Gasolina"	108.46	"Si"	"Si"	1600	5	1130
15864	14	17896	"Gasolina"	108.46	"No"	"No"	1600	4	1150
12455	20	17300	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
14955	19	17038	"Gasolina"	108.46	"Si"	"Si"	1600	5	1130
13591	10	13747	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
14545	12	13634	"Gasolina"	108.46	"No"	"Si"	1600	5	1115
16591	13	13178	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
12153	15	13157	"Gasolina"	95.642	"No"	"Si"	1400	4	1085
14545	16	13000	"Gasolina"	108.46	"No"	"Si"	1600	4	1105
14000	11	12500	"Gasolina"	108.46	"No"	"Si"	1600	5	1115
14773	17	11999	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
14773	16	11754	"Gasolina"	108.46	"Si"	"No"	1600	5	1180
14045	16	11000	"Gasolina"	108.46	"No"	"Si"	1600	4	1105
15682	17	10000	"Gasolina"	108.46	"Si"	"Si"	1598	5	1105
14636	9	7650	"Gasolina"	108.46	"No"	"Si"	1600	5	1115
14545	14	6500	"Gasolina"	108.46	"No"	"Si"	1600	4	1100
12864	11	6155	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
14955	14	6000	"Gasolina"	108.46	"Si"	"Si"	1600	5	1130
14955	14	5459	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
15864	14	5278	"Gasolina"	108.46	"No"	"No"	1600	4	1150
15455	12	5000	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
12995	9	1	"Gasolina"	96.628	"No"	"Si"	1400	4	1065
13405	9	1	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
18409	8	11000	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
14545	8	10077	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
14045	8	10000	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
16773	8	9788	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
14955	8	8574	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
14045	8	7000	"Gasolina"	108.46	"Si"	"Si"	1600	5	1115
14955	7	6250	"Gasolina"	108.46	"No"	"Si"	1600	5	1115
16773	8	5000	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
17273	6	3000	"Gasolina"	108.46	"Si"	"Si"	1600	5	1130
13636	7	2000	"Gasolina"	108.46	"Si"	"Si"	1600	5	1075
13818	7	450	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
16023	2	225	"Gasolina"	95.642	"No"	"Si"	1400	5	1110
16364	2	15	"Gasolina"	108.46	"No"	"Si"	1600	5	1130
12995	1	1	"Gasolina"	96.628	"No"	"Si"	1400	4	1100
13405	1	1	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
3136	43	243000	"Diesel"	68.034	"Si"	"Si"	1900	3	1110
5455	38	180638	"Diesel"	88.74	"Si"	"Si"	2000	4	1160
7682	40	179860	"Diesel"	88.74	"No"	"Si"	2000	5	1205
3864	43	178858	"Gas_Nat_Compr"	108.46	"Si"	"Si"	1600	3	1084
7682	40	161000	"Diesel"	68.034	"No"	"Si"	1900	3	1105
773	44	158320	"Diesel"	68.034	"Si"	"Si"	1800	5	1110
1136	44	131273	"Diesel"	68.034	"No"	"Si"	1800	5	1110
7500	40	130062	"Diesel"	68.034	"No"	"Si"	1900	5	1140
8864	41	123425	"Diesel"	68.034	"No"	"Si"	1900	5	1140
7682	37	118217	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7636	44	110000	"Diesel"	68.034	"No"	"Si"	1900	5	1095
10227	39	108847	"Diesel"	88.74	"No"	"Si"	2000	5	1205
5864	42	105699	"Gasolina"	95.642	"No"	"Si"	1400	3	1025
7682	39	98823	"Gas_Nat_Compr"	108.46	"No"	"Si"	1600	5	1119
7268	44	96829	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7045	40	96518	"Gasolina"	95.642	"No"	"Si"	1400	3	1025
6364	42	92204	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
6318	35	91456	"Diesel"	68.034	"No"	"Si"	1900	3	1110
8591	43	89968	"Diesel"	68.034	"No"	"Si"	1900	5	1140
7273	44	89757	"Gasolina"	108.46	"No"	"Si"	1600	3	1045
8182	40	85389	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
6773	43	85017	"Gasolina"	95.642	"Si"	"Si"	1400	5	1060
7227	41	84312	"Gasolina"	108.46	"Si"	"Si"	1600	5	1080
7682	37	82743	"Gas_Nat_Compr"	108.46	"No"	"Si"	1600	5	1121
8864	41	81106	"Diesel"	68.034	"No"	"Si"	1900	5	1140
10227	40	80425	"Diesel"	88.74	"No"	"Si"	2000	5	1205
7536	34	78677	"Gasolina"	108.46	"No"	"No"	1600	5	1105
7227	40	78425	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
9091	33	78108	"Diesel"	88.74	"No"	"Si"	2000	3	1170
6773	33	77321	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
9091	33	75699	"Diesel"	68.034	"Si"	"Si"	1900	3	1105
6773	41	75697	"Gasolina"	95.642	"No"	"Si"	1400	3	1025
6773	44	74846	"Gasolina"	95.642	"No"	"Si"	1400	3	1025
8591	38	74319	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7682	43	74285	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
8136	44	74172	"Gasolina"	108.46	"No"	"Si"	1600	5	1615
7682	40	73042	"Gasolina"	108.46	"No"	"Si"	1598	5	1075
10409	44	71793	"Gas_Nat_Compr"	108.46	"No"	"Si"	1600	4	1067
8136	35	71200	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
8591	38	67805	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7682	35	65988	"Gasolina"	108.46	"No"	"Si"	1600	3	1040
7445	34	65345	"Gasolina"	95.642	"No"	"Si"	1400	5	1060
8136	42	64564	"Gasolina"	108.46	"No"	"Si"	1600	5	1080
8409	36	63459	"Gasolina"	95.642	"No"	"Si"	1400	5	1060
7659	44	63451	"Gasolina"	95.642	"Si"	"Si"	1400	3	1025
8591	33	62000	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7682	42	61300	"Gasolina"	95.642	"No"	"Si"	1400	3	1030
8545	41	61200	"Gasolina"	108.46	"No"	"Si"	1600	3	1045
7636	41	61000	"Gasolina"	108.46	"Si"	"Si"	1600	5	1075
7409	38	60829	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
6773	44	60500	"Gasolina"	108.46	"Si"	"Si"	1600	5	1075
9500	35	59500	"Diesel"	68.034	"No"	"Si"	1900	3	1110
9500	44	59000	"Gasolina"	108.46	"Si"	"No"	1600	5	1110
7682	40	58954	"Gasolina"	108.46	"No"	"Si"	1600	5	1080
6773	38	58798	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
8136	38	58363	"Gasolina"	108.46	"No"	"Si"	1600	3	1055
7682	43	58277	"Gasolina"	108.46	"No"	"Si"	1600	3	1045
9091	33	57711	"Diesel"	88.74	"No"	"Si"	2000	3	1165
7445	33	57269	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
9091	39	56001	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7682	42	55968	"Gasolina"	108.46	"Si"	"Si"	1600	3	1050
8545	39	55678	"Gasolina"	108.46	"No"	"Si"	1600	4	1030
9091	43	55539	"Gasolina"	108.46	"No"	"Si"	1600	5	1085
7500	42	55400	"Gasolina"	108.46	"Si"	"Si"	1600	5	1075
7500	33	55350	"Gasolina"	108.46	"Si"	"Si"	1600	5	1075
6682	43	54600	"Gasolina"	108.46	"Si"	"Si"	1600	4	1030
7500	43	53773	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
10409	42	53719	"Gasolina"	108.46	"No"	"No"	1600	5	1105
5855	39	53644	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
8545	42	53350	"Gasolina"	108.46	"Si"	"Si"	1600	5	1075
9091	38	53000	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7500	44	52084	"Gasolina"	95.642	"No"	"Si"	1400	3	1025
7682	44	52000	"Gasolina"	95.642	"Si"	"Si"	1400	3	1025
9045	33	51945	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7682	41	51732	"Gasolina"	95.642	"No"	"Si"	1400	3	1025
8177	39	50873	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
9091	41	50856	"Gasolina"	108.46	"Si"	"Si"	1600	4	1030
8409	40	50640	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7727	39	50000	"Gasolina"	95.642	"No"	"Si"	1400	5	1060
7682	38	49500	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
8177	44	49332	"Gasolina"	108.46	"No"	"Si"	1600	5	1080
8136	34	49291	"Gasolina"	108.46	"No"	"Si"	1600	3	1040
10227	40	48952	"Diesel"	88.74	"No"	"Si"	2000	5	1205
6773	39	48945	"Gasolina"	108.46	"Si"	"Si"	1600	3	1040
9091	33	48928	"Diesel"	68.034	"No"	"Si"	1900	3	1105
8591	38	48197	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
9091	35	48052	"Diesel"	68.034	"No"	"Si"	1900	3	1105
9045	34	48011	"Gasolina"	108.46	"No"	"Si"	1600	4	1030
9091	43	48000	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7255	41	47350	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
9045	39	46821	"Gasolina"	95.642	"No"	"Si"	1400	5	1060
7268	39	46694	"Gasolina"	108.46	"Si"	"Si"	1600	3	1040
8409	43	46515	"Gasolina"	95.642	"Si"	"Si"	1400	5	1025
10445	38	46327	"Gasolina"	108.46	"No"	"Si"	1600	3	1055
8591	35	46304	"Gasolina"	95.642	"No"	"Si"	1400	5	1060
8591	40	45886	"Gasolina"	108.46	"No"	"Si"	1600	5	1080
8500	39	45713	"Gasolina"	95.642	"No"	"Si"	1400	5	1085
9500	40	45600	"Gasolina"	108.46	"No"	"No"	1600	5	1105
7682	41	45287	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
8591	39	45081	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7455	40	44830	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
5864	37	44757	"Gasolina"	95.642	"Si"	"Si"	1400	3	1025
7632	44	44218	"Gasolina"	95.642	"No"	"Si"	1400	5	1060
8591	43	43632	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
8182	36	43427	"Gasolina"	108.46	"No"	"Si"	1600	3	1040
9432	39	43254	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
6364	35	43000	"Gasolina"	108.46	"Si"	"Si"	1600	3	1050
7995	33	42823	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
9500	42	42560	"Gasolina"	108.46	"No"	"Si"	1600	5	1080
6773	38	41754	"Gasolina"	108.46	"Si"	"Si"	1600	3	1040
8591	44	41499	"Gas_Nat_Compr"	108.46	"No"	"Si"	1600	5	1103
8500	40	41339	"Gasolina"	108.46	"No"	"Si"	1600	5	1080
9541	35	41000	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
9318	39	40000	"Gasolina"	108.46	"No"	"Si"	1600	3	1055
8409	37	39757	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
8182	41	39659	"Gasolina"	108.46	"No"	"Si"	1600	3	1045
9500	43	39650	"Gasolina"	108.46	"Si"	"Si"	1600	3	1055
7273	39	39524	"Gasolina"	95.642	"No"	"Si"	1398	3	1025
9500	44	39516	"Gasolina"	95.642	"No"	"Si"	1400	5	1060
7632	41	39439	"Gasolina"	95.642	"Si"	"Si"	1400	5	1060
5864	44	39000	"Gasolina"	95.642	"No"	"Si"	1400	3	1025
9091	42	38932	"Gasolina"	108.46	"No"	"Si"	1600	3	1040
7227	37	38812	"Gasolina"	95.642	"Si"	"Si"	1400	3	1025
8136	42	38665	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
8591	40	38653	"Gasolina"	108.46	"No"	"Si"	1600	5	1080
9541	44	38461	"Gasolina"	108.46	"No"	"Si"	1600	5	1080
7500	42	38078	"Gasolina"	95.642	"Si"	"Si"	1400	3	1025
7409	39	37782	"Gasolina"	95.642	"No"	"Si"	1400	5	1060
5864	43	37576	"Gasolina"	95.642	"Si"	"Si"	1400	3	1030
9500	41	37533	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
8591	44	37389	"Gasolina"	108.46	"No"	"Si"	1600	5	1080
6773	38	37320	"Gasolina"	95.642	"No"	"Si"	1400	3	1025
5818	42	37000	"Gasolina"	95.642	"No"	"Si"	1400	3	1025
7682	44	37000	"Gasolina"	108.46	"Si"	"Si"	1600	4	1075
7718	40	36566	"Gasolina"	108.46	"Si"	"Si"	1600	5	1090
6591	36	36269	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
9500	37	36074	"Gasolina"	108.46	"No"	"No"	1600	5	1075
7045	44	36066	"Gasolina"	108.46	"No"	"Si"	1600	3	1040
8591	39	34599	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7682	41	34000	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
6773	42	33623	"Gasolina"	95.642	"No"	"Si"	1400	3	1025
8591	33	33591	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
8591	35	33258	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7450	43	33113	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
6818	41	33000	"Gasolina"	108.46	"No"	"No"	1600	5	1075
9500	35	32941	"Gasolina"	108.46	"No"	"Si"	1600	5	1080
7682	38	32781	"Gasolina"	108.46	"Si"	"Si"	1600	5	1075
7500	40	32532	"Gasolina"	108.46	"No"	"Si"	1600	3	1040
8091	34	32431	"Gasolina"	95.642	"No"	"Si"	1400	5	1060
8182	35	32000	"Gasolina"	108.46	"Si"	"Si"	1600	3	1040
8545	33	31000	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7909	41	30989	"Gasolina"	108.46	"Si"	"Si"	1600	3	1045
8409	43	30742	"Gasolina"	108.46	"No"	"Si"	1600	3	1040
7682	42	30190	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7636	41	29716	"Gasolina"	114.376	"No"	"Si"	1600	5	1075
7682	44	29716	"Gasolina"	108.46	"No"	"No"	1600	3	1070
10409	42	29640	"Gasolina"	108.46	"Si"	"Si"	1600	3	1055
7682	41	29056	"Gasolina"	95.642	"No"	"Si"	1400	5	1060
8591	33	28715	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
10409	41	28571	"Gasolina"	108.46	"Si"	"Si"	1600	5	1090
9045	40	28362	"Gasolina"	108.46	"No"	"Si"	1600	3	1040
9318	38	28150	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
8591	43	27301	"Gasolina"	108.46	"No"	"Si"	1600	3	1040
8409	33	27240	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7632	39	27170	"Gasolina"	95.642	"No"	"Si"	1400	5	1060
5864	42	27141	"Gasolina"	95.642	"No"	"Si"	1400	5	1060
8136	38	26262	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
8182	38	26000	"Gasolina"	95.642	"No"	"Si"	1400	5	1060
10409	43	25228	"Gasolina"	108.46	"No"	"Si"	1600	3	1045
9318	39	25062	"Gasolina"	108.46	"No"	"Si"	1600	5	1080
8359	39	24723	"Gasolina"	108.46	"No"	"No"	1600	4	1060
10445	33	24650	"Gasolina"	108.46	"No"	"Si"	1600	3	1055
8409	43	24553	"Gasolina"	108.46	"No"	"Si"	1600	5	1080
9864	41	24475	"Gasolina"	108.46	"No"	"Si"	1600	5	1030
8591	39	24444	"Gasolina"	108.46	"No"	"Si"	1600	3	1040
7273	35	24011	"Gasolina"	95.642	"Si"	"Si"	1400	3	1025
7682	41	24000	"Gasolina"	95.642	"No"	"Si"	1400	3	1025
9045	40	23616	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
8545	38	22865	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
6364	41	22780	"Gasolina"	84.796	"No"	"Si"	1300	5	1035
6773	35	21904	"Gasolina"	95.642	"Si"	"Si"	1400	3	1025
7682	41	21651	"Gasolina"	95.642	"Si"	"Si"	1400	3	1025
7227	37	21500	"Gasolina"	108.46	"No"	"Si"	1600	5	1030
8864	44	21027	"Gasolina"	108.46	"No"	"Si"	1600	5	1080
6136	39	18500	"Gasolina"	108.46	"Si"	"Si"	1600	4	1030
9541	35	18000	"Gasolina"	108.46	"No"	"Si"	1600	5	1075
7682	40	17051	"Gasolina"	95.642	"Si"	"Si"	1400	5	1060
